id,name,long_name,nationality,age,overall,potential,growth,club,contract,contract_type,contract_start_year,contract_end_year,positions,primary_position,preferred_foot,best_position,height_cm,weight_kg,value_eur,wage_eur,release_clause_eur,weak_foot,skill_moves,international_reputation,hits,joined_date,value_per_overall
211110,P. Dybala,Paulo Dybala,Argentina,26,88,89,1,Juventus,2015 ~ 2022,active,2015,2022,"CF, CAM",CF,Left,CAM,177,75,109000000,190000,122500000,3,4,3,408.0,2015-07-01,1238636.36
210257,Ederson,Ederson Santana de Moraes,Brazil,26,88,91,3,Manchester City,2017 ~ 2024,active,2017,2024,GK,GK,Left,GK,188,86,92000000,195000,103000000,3,1,2,103.0,2017-07-01,1045454.55
202126,H. Kane,Harry Kane,England,26,88,89,1,Tottenham Hotspur,2010 ~ 2024,active,2010,2024,ST,ST,Right,ST,188,89,109000000,220000,140200000,4,3,3,332.0,2010-07-01,1238636.36
162835,S. Handanovič,Samir Handanovič,Slovenia,35,88,88,0,Inter,2012 ~ 2021,active,2012,2021,GK,GK,Right,GK,193,92,10000000,100000,27200000,3,1,3,86.0,2012-07-01,113636.36
201024,K. Koulibaly,Kalidou Koulibaly,Senegal,29,88,88,0,Napoli,2014 ~ 2023,active,2014,2023,CB,CB,Right,CB,187,89,76500000,140000,85000000,3,2,3,173.0,2014-07-01,869318.18
183277,E. Hazard,Eden Hazard,Belgium,29,88,88,0,Real Madrid,2019 ~ 2024,active,2019,2024,"LW, ST",LW,Right,LW,175,74,89500000,350000,118900000,4,4,4,246.0,2019-07-01,1017045.45
182521,T. Kroos,Toni Kroos,Germany,30,88,88,0,Real Madrid,2014 ~ 2023,active,2014,2023,CM,CM,Right,CM,183,76,87500000,310000,112800000,5,3,4,161.0,2014-07-17,994318.18
194765,A. Griezmann,Antoine Griezmann,France,29,87,87,0,FC Barcelona,2019 ~ 2024,active,2019,2024,"ST, CF, LW",ST,Left,ST,176,73,79500000,290000,103500000,3,4,4,396.0,2019-07-12,913793.1
233049,J. Sancho,Jadon Sancho,England,20,87,93,6,Borussia Dortmund,2017 ~ 2023,active,2017,2023,"RM, LM, CAM",RM,Right,CAM,180,76,124000000,82000,132100000,3,5,3,1100.0,2017-08-31,1425287.36
231281,T. Alexander-Arnold,Trent Alexander-Arnold,England,21,87,92,5,Liverpool,2015 ~ 2024,active,2015,2024,RB,RB,Right,RB,180,69,114000000,110000,115500000,4,3,2,433.0,2015-10-07,1310344.83
218667,Bernardo Silva,Bernardo Mota Carvalho e Silva,Portugal,25,87,88,1,Manchester City,2017 ~ 2025,active,2017,2025,"RW, CAM, CM",RW,Left,RW,173,64,95000000,230000,115500000,3,4,2,242.0,2017-07-01,1091954.02
216267,A. Robertson,Andrew Robertson,Scotland,26,87,89,2,Liverpool,2017 ~ 2024,active,2017,2024,LB,LB,Left,LB,178,64,90500000,155000,102000000,2,3,3,206.0,2017-07-21,1040229.89
212218,A. Laporte,Aymeric Laporte,France,26,87,90,3,Manchester City,2018 ~ 2024,active,2018,2024,CB,CB,Left,CB,189,85,92500000,200000,107800000,3,2,2,177.0,2018-01-30,1063218.39
212198,Bruno Fernandes,Bruno Miguel Borges Fernandes,Portugal,25,87,90,3,Manchester United,2020 ~ 2025,active,2020,2025,"CAM, CM",CAM,Right,CAM,179,69,105500000,195000,124400000,4,4,2,1500.0,2020-01-30,1212643.68
209499,Fabinho,Fábio Henrique Tavares,Brazil,26,87,89,2,Liverpool,2018 ~ 2023,active,2018,2023,CDM,CDM,Right,CDM,188,78,88500000,155000,104900000,2,3,3,198.0,2018-07-01,1017241.38
200104,H. Son,Heung Min Son,Korea Republic,27,87,87,0,Tottenham Hotspur,2015 ~ 2023,active,2015,2023,"LM, CF",LM,Right,LM,183,78,85000000,165000,99800000,5,4,3,459.0,2015-08-28,977011.49
201942,Roberto Firmino,Roberto Firmino Barbosa de Oliveira,Brazil,28,87,87,0,Liverpool,2015 ~ 2023,active,2015,2023,CF,CF,Right,CF,181,76,81500000,190000,96200000,4,5,3,173.0,2015-07-06,936781.61
193041,K. Navas,Keylor Navas,Costa Rica,33,87,87,0,Paris Saint-Germain,2019 ~ 2023,active,2019,2023,GK,GK,Right,GK,185,80,26000000,110000,50000000,3,1,3,117.0,2019-09-02,298850.57
138956,G. Chiellini,Giorgio Chiellini,Italy,35,87,87,0,Juventus,2005 ~ 2021,active,2005,2021,CB,CB,Left,CB,187,85,21000000,95000,25600000,3,2,4,130.0,2005-07-01,241379.31
189511,Sergio Busquets,Sergio Busquets Burgos,Spain,31,87,87,0,FC Barcelona,2008 ~ 2023,active,2008,2023,"CDM, CM",CDM,Right,CDM,189,76,56000000,240000,77900000,3,3,4,119.0,2008-09-01,643678.16
188567,P. Aubameyang,Pierre-Emerick Aubameyang,Gabon,31,87,87,0,Arsenal,2018 ~ 2023,active,2018,2023,"ST, LW",ST,Right,ST,187,80,67500000,170000,85500000,4,4,3,209.0,2018-01-31,775862.07
186153,W. Szczęsny,Wojciech Szczęsny,Poland,30,87,87,0,Juventus,2017 ~ 2024,active,2017,2024,GK,GK,Right,GK,195,90,53000000,105000,56100000,3,1,3,84.0,2017-07-19,609195.4
183898,A. Di María,Ángel Di María,Argentina,32,87,87,0,Paris Saint-Germain,2015 ~ 2021,active,2015,2021,"RW, LW",RW,Left,RW,180,69,63000000,160000,72200000,2,5,4,187.0,2015-08-06,724137.93
177003,L. Modrić,Luka Modrić,Croatia,34,87,87,0,Real Madrid,2012 ~ 2021,active,2012,2021,CM,CM,Right,CM,172,66,36500000,260000,50200000,4,4,4,165.0,2012-08-01,419540.23
176580,L. Suárez,Luis Suárez,Uruguay,33,87,87,0,Atlético Madrid,2020 ~ 2022,active,2020,2022,ST,ST,Right,ST,182,83,51000000,115000,64600000,4,3,5,203.0,2020-09-25,586206.9
167948,H. Lloris,Hugo Lloris,France,33,87,87,0,Tottenham Hotspur,2012 ~ 2022,active,2012,2022,GK,GK,Left,GK,188,82,26000000,125000,51300000,1,1,4,65.0,2012-08-31,298850.57
192387,C. Immobile,Ciro Immobile,Italy,30,87,87,0,Lazio,2016 ~ 2025,active,2016,2025,ST,ST,Right,ST,185,85,78000000,125000,82500000,4,3,3,336.0,2016-07-27,896551.72
189596,T. Müller,Thomas Müller,Germany,30,86,86,0,FC Bayern München,2008 ~ 2023,active,2008,2023,"CAM, RM, RW",CAM,Right,CAM,186,75,65500000,130000,69300000,4,3,4,126.0,2008-08-10,761627.91
193080,De Gea,David De Gea Quintana,Spain,29,86,86,0,Manchester United,2011 ~ 2023,active,2011,2023,GK,GK,Right,GK,192,82,46500000,150000,59900000,3,1,4,313.0,2011-07-01,540697.67
204963,Carvajal,Daniel Carvajal Ramos,Spain,28,86,86,0,Real Madrid,2013 ~ 2022,active,2013,2022,RB,RB,Right,RB,173,73,61500000,230000,77900000,3,3,3,124.0,2013-07-05,715116.28
201535,R. Varane,Raphaël Varane,France,27,86,88,2,Real Madrid,2011 ~ 2022,active,2011,2022,CB,CB,Right,CB,191,81,72500000,220000,98800000,3,2,3,154.0,2011-07-01,843023.26
199556,M. Verratti,Marco Verratti,Italy,27,86,87,1,Paris Saint-Germain,2012 ~ 2024,active,2012,2024,"CM, CDM",CM,Right,CM,165,60,77500000,135000,96300000,4,4,3,145.0,2012-07-18,901162.79
195864,P. Pogba,Paul Pogba,France,27,86,87,1,Manchester United,2016 ~ 2021,active,2016,2021,"CM, CDM",CM,Right,CM,191,84,77500000,190000,98800000,4,5,4,538.0,2016-08-09,901162.79
208830,J. Vardy,Jamie Vardy,England,33,86,86,0,Leicester City,2012 ~ 2023,active,2012,2023,ST,ST,Right,ST,179,74,43500000,160000,53200000,3,3,3,182.0,2012-05-01,505813.95
152729,Piqué,Gerard Piqué Bernabeu,Spain,33,86,86,0,FC Barcelona,2008 ~ 2022,active,2008,2022,CB,CB,Right,CB,194,85,32500000,220000,43100000,3,2,4,175.0,2008-07-01,377906.98
178603,M. Hummels,Mats Hummels,Germany,31,86,86,0,Borussia Dortmund,2019 ~ 2022,active,2019,2022,CB,CB,Right,CB,191,94,46500000,95000,56100000,3,3,4,101.0,2019-07-01,540697.67
177683,Y. Sommer,Yann Sommer,Switzerland,31,86,86,0,Borussia Mönchengladbach,2014 ~ 2023,active,2014,2023,GK,GK,Right,GK,183,79,36000000,55000,48500000,4,1,3,45.0,2014-07-01,418604.65
168542,David Silva,David Josué Jiménez Silva,Spain,34,86,86,0,Real Sociedad,2020 ~ 2022,active,2020,2022,"CAM, CM",CAM,Left,CAM,173,67,32000000,58000,47300000,2,4,4,103.0,2020-08-17,372093.02
143076,A. Gómez,Alejandro Gómez,Argentina,32,86,86,0,Atalanta,2014 ~ 2022,active,2014,2022,"CAM, CF, ST",CAM,Right,CAM,167,68,54000000,100000,58700000,4,4,3,377.0,2014-09-02,627906.98
189332,Jordi Alba,Jordi Alba Ramos,Spain,31,86,86,0,FC Barcelona,2012 ~ 2024,active,2012,2024,LB,LB,Left,LB,170,68,49500000,220000,65600000,3,3,3,99.0,2012-07-01,575581.4
183711,J. Henderson,Jordan Henderson,England,30,86,86,0,Liverpool,2011 ~ 2023,active,2011,2023,"CDM, CM",CDM,Right,CDM,182,80,57000000,140000,67500000,3,3,2,194.0,2011-06-09,662790.7
231866,Rodri,Rodrigo Hernández Cascante,Spain,24,85,88,3,Manchester City,2019 ~ 2024,active,2019,2024,"CDM, CM",CDM,Right,CDM,191,82,66500000,145000,84700000,4,3,2,161.0,2019-07-04,782352.94
223848,S. Milinković-Savić,Sergej Milinković-Savić,Serbia,25,85,89,4,Lazio,2015 ~ 2024,active,2015,2024,"CM, CDM, CAM",CM,Right,CM,191,76,74500000,95000,87000000,4,4,2,403.0,2015-08-06,876470.59
202556,M. Depay,Memphis Depay,Netherlands,26,85,88,3,Olympique Lyonnais,2017 ~ 2021,active,2017,2021,"CF, LW, CAM",CF,Right,CAM,176,78,71500000,115000,95800000,3,5,3,414.0,2017-01-20,841176.47
235790,K. Havertz,Kai Havertz,Germany,21,85,93,8,Chelsea,2020 ~ 2025,active,2020,2025,"CAM, RM, CF",CAM,Left,CAM,188,83,121000000,105000,119700000,4,4,3,593.0,2020-09-04,1423529.41
235243,M. de Ligt,Matthijs de Ligt,Netherlands,20,85,92,7,Juventus,2019 ~ 2024,active,2019,2024,CB,CB,Right,CB,189,89,99000000,81000,91600000,4,2,3,374.0,2019-07-18,1164705.88
232363,M. Škriniar,Milan Škriniar,Slovakia,25,85,89,4,Inter,2017 ~ 2023,active,2017,2023,CB,CB,Right,CB,188,80,67000000,130000,79000000,4,2,1,245.0,2017-07-07,788235.29
231677,M. Rashford,Marcus Rashford,England,22,85,91,6,Manchester United,2014 ~ 2023,active,2014,2023,"LM, ST",LM,Right,RM,186,70,86500000,150000,111300000,4,5,2,3200.0,2014-07-01,1017647.06
230621,G. Donnarumma,Gianluigi Donnarumma,Italy,21,85,92,7,Milan,2015 ~ 2021,active,2015,2021,GK,GK,Right,GK,196,90,93500000,34000,78900000,3,1,3,266.0,2015-07-01,1100000.0
206113,S. Gnabry,Serge Gnabry,Germany,24,85,87,2,FC Bayern München,2017 ~ 2023,active,2017,2023,"RM, LM, RW",RM,Right,RM,175,75,70000000,100000,81900000,4,4,3,299.0,2017-07-01,823529.41
222492,L. Sané,Leroy Sané,Germany,24,85,90,5,FC Bayern München,2020 ~ 2025,active,2020,2025,LM,LM,Left,LM,184,75,81500000,100000,88800000,3,4,2,309.0,2020-07-15,958823.53
208670,H. Ziyech,Hakim Ziyech,Morocco,27,85,86,1,Chelsea,2020 ~ 2025,active,2020,2025,"CAM, RW",CAM,Left,CAM,181,65,62000000,140000,86900000,2,5,3,215.0,2020-07-01,729411.76
220440,C. Lenglet,Clément Lenglet,France,25,85,89,4,FC Barcelona,2018 ~ 2023,active,2018,2023,CB,CB,Left,CB,186,81,67000000,190000,94600000,4,2,2,265.0,2018-07-12,788235.29
207865,Marquinhos,Marcos Aoás Corrêa,Brazil,26,85,89,4,Paris Saint-Germain,2013 ~ 2024,active,2013,2024,"CB, CDM",CB,Right,CB,183,75,66000000,115000,84700000,3,3,3,211.0,2013-07-19,776470.59
204485,R. Mahrez,Riyad Mahrez,Algeria,29,85,85,0,Manchester City,2018 ~ 2023,active,2018,2023,"RW, RM",RW,Left,RW,179,67,53000000,210000,69400000,4,5,3,112.0,2018-07-10,623529.41
210243,Ricardo Pereira,Ricardo Barbosa Pereira,Portugal,26,85,86,1,Leicester City,2018 ~ 2023,active,2018,2023,RB,RB,Right,RB,175,70,58000000,120000,78000000,4,3,3,203.0,2018-06-09,682352.94
212188,T. Werner,Timo Werner,Germany,24,85,88,3,Chelsea,2020 ~ 2025,active,2020,2025,"ST, LW",ST,Right,ST,180,76,74500000,135000,97800000,4,3,3,337.0,2020-07-01,876470.59
189513,Parejo,Daniel Parejo Muñoz,Spain,31,85,85,0,Villarreal CF,2020 ~ 2024,active,2020,2024,CM,CM,Right,CM,182,74,44000000,59000,69300000,4,3,2,70.0,2020-08-12,517647.06
201399,M. Icardi,Mauro Icardi,Argentina,27,85,86,1,Paris Saint-Germain,2020 ~ 2024,active,2020,2024,ST,ST,Right,ST,181,75,63000000,135000,86600000,4,3,3,159.0,2020-06-08,741176.47
228702,F. de Jong,Frenkie de Jong,Netherlands,23,85,90,5,FC Barcelona,2019 ~ 2024,active,2019,2024,CM,CM,Right,CM,180,74,81000000,190000,107300000,3,4,3,688.0,2019-07-01,952941.18
198219,L. Insigne,Lorenzo Insigne,Italy,29,85,85,0,Napoli,2010 ~ 2022,active,2010,2022,"LW, CF",LW,Right,LW,163,59,53000000,120000,63800000,4,4,3,116.0,2010-07-01,623529.41
184087,T. Alderweireld,Toby Alderweireld,Belgium,31,85,85,0,Tottenham Hotspur,2015 ~ 2023,active,2015,2023,CB,CB,Right,CB,186,81,37000000,130000,54200000,3,2,3,63.0,2015-07-08,435294.12
164240,Thiago Silva,Thiago Emiliano da Silva,Brazil,35,85,85,0,Chelsea,2020 ~ 2021,active,2020,2021,CB,CB,Right,CB,183,79,14500000,95000,21900000,3,2,4,144.0,2020-08-28,170588.24
193747,Koke,Jorge Resurrección,Spain,28,85,85,0,Atlético Madrid,2011 ~ 2024,active,2011,2024,"CM, RM, LM",CM,Right,CM,176,75,54000000,90000,77900000,4,3,3,123.0,2011-01-01,635294.12
192563,B. Leno,Bernd Leno,Germany,28,85,87,2,Arsenal,2018 ~ 2023,active,2018,2023,GK,GK,Right,GK,190,82,46000000,105000,66200000,3,1,3,71.0,2018-07-01,541176.47
192505,R. Lukaku,Romelu Lukaku,Belgium,27,85,86,1,Inter,2019 ~ 2024,active,2019,2024,ST,ST,Left,ST,191,94,63000000,165000,79900000,4,3,3,224.0,2019-08-08,741176.47
191043,Alex Sandro,Alex Sandro Lobo Silva,Brazil,29,85,85,0,Juventus,2015 ~ 2023,active,2015,2023,"LB, LM",LB,Left,LB,180,80,47500000,120000,52000000,3,3,3,113.0,2015-08-21,558823.53
189509,Thiago,Thiago Alcântara,Spain,29,85,85,0,Liverpool,2020 ~ 2024,active,2020,2024,"CM, CDM",CM,Right,CM,174,70,52500000,150000,68500000,3,5,3,175.0,2020-09-18,617647.06
188377,K. Walker,Kyle Walker,England,30,85,85,0,Manchester City,2017 ~ 2024,active,2017,2024,RB,RB,Right,RB,183,70,46500000,170000,56400000,2,3,3,130.0,2017-07-14,547058.82
190460,C. Eriksen,Christian Eriksen,Denmark,28,85,85,0,Inter,2020 ~ 2024,active,2020,2024,"CAM, CM, RM",CAM,Right,CAM,181,76,54500000,155000,66300000,5,4,3,168.0,2020-01-28,641176.47
185122,P. Gulácsi,Péter Gulácsi,Hungary,30,85,85,0,RB Leipzig,2015 ~ 2023,active,2015,2023,GK,GK,Right,GK,191,86,36000000,65000,44200000,2,1,2,61.0,2015-07-01,423529.41
184344,L. Bonucci,Leonardo Bonucci,Italy,33,85,85,0,Juventus,2018 ~ 2024,active,2018,2024,CB,CB,Right,CB,190,85,26000000,110000,29700000,4,2,3,89.0,2018-08-02,305882.35
175943,D. Mertens,Dries Mertens,Belgium,33,85,85,0,Napoli,2013 ~ 2022,active,2013,2022,"CF, ST",CF,Right,CF,169,61,34500000,115000,40800000,4,4,3,137.0,2013-07-01,405882.35
198706,Luis Alberto,Luis Alberto Romero Alconchel,Spain,27,85,85,0,Lazio,2016 ~ 2025,active,2016,2025,"CAM, CM, CF",CAM,Right,CAM,183,74,57500000,100000,68900000,3,4,2,278.0,2016-08-31,676470.59
182493,D. Godín,Diego Godín,Uruguay,34,85,85,0,Cagliari,2020 ~ 2023,active,2020,2023,CB,CB,Right,CB,187,78,17500000,56000,24700000,3,2,3,75.0,2020-09-24,205882.35
181291,G. Wijnaldum,Georginio Wijnaldum,Netherlands,29,85,85,0,Liverpool,2016 ~ 2021,active,2016,2021,CM,CM,Right,CM,175,69,52500000,150000,68500000,4,4,3,148.0,2016-07-22,617647.06
180206,M. Pjanić,Miralem Pjanić,Bosnia Herzegovina,30,85,85,0,FC Barcelona,2020 ~ 2024,active,2020,2024,CM,CM,Right,CM,178,72,51500000,220000,72800000,4,3,3,176.0,2020-08-24,605882.35
188350,M. Reus,Marco Reus,Germany,31,85,85,0,Borussia Dortmund,2012 ~ 2023,active,2012,2023,"CAM, CF",CAM,Right,CAM,180,71,44500000,95000,57800000,4,4,4,197.0,2012-07-01,523529.41
226790,W. Ndidi,Wilfred Ndidi,Nigeria,23,84,88,4,Leicester City,2017 ~ 2024,active,2017,2024,"CDM, CM",CDM,Right,CB,183,74,55000000,95000,72100000,4,3,1,264.0,2017-01-05,654761.9
216460,J. Giménez,José María Giménez,Uruguay,25,84,88,4,Atlético Madrid,2013 ~ 2023,active,2013,2023,CB,CB,Right,CB,185,79,52500000,71000,76500000,3,2,2,214.0,2013-07-01,625000.0
226753,A. Onana,André Onana,Cameroon,24,84,88,4,Ajax,2015 ~ 2022,active,2015,2022,GK,GK,Right,GK,190,93,48000000,18000,44300000,3,1,3,182.0,2015-01-14,571428.57
212194,J. Brandt,Julian Brandt,Germany,24,84,88,4,Borussia Dortmund,2019 ~ 2024,active,2019,2024,"CAM, CM",CAM,Right,CAM,185,83,60500000,75000,71900000,4,4,3,247.0,2019-07-01,720238.1
230142,Oyarzabal,Mikel Oyarzabal Ugarte,Spain,23,84,90,6,Real Sociedad,2014 ~ 2024,active,2014,2024,"LW, RW",LW,Left,CAM,181,79,66500000,47000,97800000,3,3,1,402.0,2014-07-01,791666.67
231478,L. Martínez,Lautaro Martínez,Argentina,22,84,91,7,Inter,2018 ~ 2023,active,2018,2023,ST,ST,Right,ST,174,81,86500000,130000,84600000,4,4,1,440.0,2018-07-05,1029761.9
239085,E. Haaland,Erling Haaland,Norway,19,84,92,8,Borussia Dortmund,2020 ~ 2024,active,2020,2024,ST,ST,Left,ST,194,88,92000000,56000,85500000,3,3,2,1700.0,2020-01-01,1095238.1
212462,Alex Telles,Alex Nicolao Telles,Brazil,27,84,85,1,Manchester United,2020 ~ 2024,active,2020,2024,LB,LB,Left,LB,181,71,44500000,145000,61200000,2,3,3,2300.0,2020-10-05,529761.9
213345,K. Coman,Kingsley Coman,France,24,84,88,4,FC Bayern München,2015 ~ 2023,active,2015,2023,"LM, RM, LW",LM,Right,RM,179,75,60500000,95000,69900000,3,4,3,171.0,2015-08-30,720238.1
210035,Grimaldo,Alejandro Grimaldo García,Spain,24,84,88,4,SL Benfica,2016 ~ 2023,active,2016,2023,LB,LB,Left,LWB,171,69,56000000,20000,73700000,2,3,3,320.0,2016-01-04,666666.67
230658,Arthur,Arthur Henrique Ramos Oliveira Melo,Brazil,23,84,89,5,Juventus,2020 ~ 2024,active,2020,2024,CM,CM,Right,CM,171,73,63500000,100000,70700000,3,4,2,266.0,2020-09-01,755952.38
212190,N. Süle,Niklas Süle,Germany,24,84,89,5,FC Bayern München,2017 ~ 2022,active,2017,2022,CB,CB,Right,CB,195,97,57500000,84000,64700000,3,2,2,211.0,2017-07-01,684523.81
209889,R. Guerreiro,Raphaël Guerreiro,Portugal,26,84,85,1,Borussia Dortmund,2016 ~ 2023,active,2016,2023,"LM, LB, CM",LM,Left,CAM,170,71,49500000,86000,64800000,2,4,3,203.0,2016-07-01,589285.71
211300,A. Martial,Anthony Martial,France,24,84,88,4,Manchester United,2015 ~ 2024,active,2015,2024,ST,ST,Right,ST,184,76,61000000,155000,81000000,3,4,3,657.0,2015-09-01,726190.48
207863,Felipe,Felipe Augusto de Almeida Monteiro,Brazil,31,84,84,0,Atlético Madrid,2019 ~ 2022,active,2019,2022,CB,CB,Right,CB,190,84,29000000,74000,47200000,3,2,3,87.0,2019-07-01,345238.1
209658,L. Goretzka,Leon Goretzka,Germany,25,84,88,4,FC Bayern München,2018 ~ 2022,active,2018,2022,"CM, CDM",CM,Right,CM,189,76,58500000,105000,68100000,4,3,3,259.0,2018-07-01,696428.57
208421,Saúl,Saúl Ñíguez Esclápez,Spain,25,84,87,3,Atlético Madrid,2013 ~ 2026,active,2013,2026,"CM, LM, LB",CM,Left,CM,184,75,55500000,78000,81800000,4,3,3,200.0,2013-07-01,660714.29
209989,T. Partey,Thomas Partey,Ghana,27,84,85,1,Arsenal,2020 ~ 2024,active,2020,2024,CM,CM,Right,CDM,185,77,48000000,120000,69100000,3,3,2,255.0,2020-10-05,571428.57
199451,W. Ben Yedder,Wissam Ben Yedder,France,29,84,84,0,AS Monaco,2019 ~ 2024,active,2019,2024,ST,ST,Right,CF,170,68,42000000,90000,58900000,5,4,2,113.0,2019-08-14,500000.0
211256,N. Tagliafico,Nicolás Tagliafico,Argentina,27,84,84,0,Ajax,2018 ~ 2022,active,2018,2022,LB,LB,Left,LB,172,65,40500000,27000,38500000,2,3,3,171.0,2018-01-05,482142.86
204838,R. Jiménez,Raúl Jiménez,Mexico,29,84,84,0,Wolverhampton Wanderers,2019 ~ 2024,active,2019,2024,ST,ST,Right,ST,188,81,42000000,140000,58900000,4,3,3,253.0,2019-07-01,500000.0
216352,M. Brozović,Marcelo Brozović,Croatia,27,84,85,1,Inter,2016 ~ 2022,active,2016,2022,"CDM, CM",CDM,Right,CDM,181,68,43000000,125000,56800000,4,3,2,182.0,2016-07-01,511904.76
200458,L. Digne,Lucas Digne,France,26,84,85,1,Everton,2018 ~ 2023,active,2018,2023,LB,LB,Left,LB,178,74,45500000,110000,62200000,2,3,2,196.0,2018-08-01,541666.67
189117,R. Bürki,Roman Bürki,Switzerland,29,84,85,1,Borussia Dortmund,2015 ~ 2023,active,2015,2023,GK,GK,Right,GK,187,85,32500000,68000,44400000,2,1,3,60.0,2015-07-01,386904.76
200647,J. Iličić,Josip Iličić,Slovenia,32,84,84,0,Atalanta,2017 ~ 2022,active,2017,2022,"CF, ST",CF,Left,CAM,190,79,34000000,90000,42500000,4,4,3,161.0,2017-07-05,404761.9
